6,"[1, 4, 10, 24, 54, 116, 230, 206, 65, 10]"
8,"[1, 4, 12, 32, 88, 240, 642, 1684, 3756, 6201, 5631, 1791, 76, 2]"
10,"[1, 4, 12, 34, 96, 272, 760, 2094, 5564, 14353, 35767, 85776, 194349, 397155, 685277, 913659, 812354, 397533, 80205, 3520, 15]"
12,"[1, 4, 12, 36, 104, 304, 884, 2568, 7386, 21153, 60242, 170638, 480206, 1338600, 3669633, 9759143, 24255266, 51825779, 79036338, 58464681, 10296837, 110963, 22]"
